"order","package","version","repository"
1,"BiocManager","1.30.27","CRAN"
2,"Rcpp","1.1.1","CRAN"
3,"RcppArmadillo","15.2.3-1","CRAN"
4,"BH","1.90.0-1","CRAN"
5,"cpp11","0.5.3","CRAN"
6,"data.table","1.18.2.1","CRAN"
7,"png","0.1-9","CRAN"
8,"XML","3.99-0.22","CRAN"
9,"curl","7.0.0","CRAN"
10,"openssl","2.3.5","CRAN"
11,"httr","1.4.8","CRAN"
12,"jsonlite","2.0.0","CRAN"
13,"stringi","1.8.7","CRAN"
14,"systemfonts","1.3.2","CRAN"
15,"textshaping","1.0.5","CRAN"
16,"farver","2.1.2","CRAN"
17,"isoband","0.3.0","CRAN"
18,"future","1.70.0","CRAN"
19,"future.apply","1.20.2","CRAN"
20,"globals","0.19.1","CRAN"
21,"listenv","0.10.1","CRAN"
22,"parallelly","1.46.1","CRAN"
23,"matrixStats","1.5.0","CRAN"
24,"SQUAREM","2026.1","CRAN"
25,"spatstat.utils","3.2-2","CRAN"
26,"prodlim","2026.03.11","CRAN"
27,"ggfun","0.2.0","CRAN"
28,"ggplotify","0.1.3","CRAN"
29,"aplot","0.2.9","CRAN"
30,"yulab.utils","0.2.4","CRAN"
31,"tidytree","0.4.7","CRAN"
32,"getopt","1.20.4","CRAN"
33,"optparse","1.7.5","CRAN"
34,"yaml","2.3.12","CRAN"
35,"readxl","1.4.5","CRAN"
36,"ggplot2","4.0.2","CRAN"
37,"pheatmap","1.0.13","CRAN"
38,"ggdendro","0.2.0","CRAN"
39,"ggrepel","0.9.6","CRAN"
40,"Rtsne","0.17","CRAN"
41,"uwot","0.2.4","CRAN"
42,"reshape2","1.4.5","CRAN"
43,"RColorBrewer","1.1-3","CRAN"
44,"igraph","2.2.2","CRAN"
45,"caret","7.0-1","CRAN"
46,"randomForest","4.7-1.2","CRAN"
47,"kernlab","0.9-33","CRAN"
48,"dplyr","1.2.0","CRAN"
49,"rlang","1.1.7","CRAN"
50,"Seurat","5.4.0","CRAN"
51,"BiocGenerics","0.52.0","Bioconductor 3.20"
52,"S4Vectors","0.44.0","Bioconductor 3.20"
53,"IRanges","2.40.1","Bioconductor 3.20"
54,"GenomeInfoDb","1.42.3","Bioconductor 3.20"
55,"GenomicRanges","1.58.0","Bioconductor 3.20"
56,"Biobase","2.66.0","Bioconductor 3.20"
57,"SummarizedExperiment","1.36.0","Bioconductor 3.20"
58,"AnnotationDbi","1.68.0","Bioconductor 3.20"
59,"preprocessCore","1.68.0","Bioconductor 3.20"
60,"impute","1.80.0","Bioconductor 3.20"
61,"limma","3.62.2","Bioconductor 3.20"
62,"edgeR","4.4.2","Bioconductor 3.20"
63,"DESeq2","1.46.0","Bioconductor 3.20"
64,"sva","3.54.0","Bioconductor 3.20"
65,"DOSE","4.0.1","Bioconductor 3.20"
66,"GOSemSim","2.32.0","Bioconductor 3.20"
67,"fgsea","1.32.4","Bioconductor 3.20"
68,"treeio","1.30.0","Bioconductor 3.20"
69,"ggtree","3.14.0","Bioconductor 3.20"
70,"enrichplot","1.26.6","Bioconductor 3.20"
71,"clusterProfiler","4.14.6","Bioconductor 3.20"
72,"ReactomePA","1.50.0","Bioconductor 3.20"
73,"org.Hs.eg.db","3.20.0","Bioconductor 3.20"
74,"org.Mm.eg.db","3.20.0","Bioconductor 3.20"
75,"org.Dr.eg.db","3.20.0","Bioconductor 3.20"
76,"WGCNA","1.74","CRAN"
